;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Россия;/home/alab/flags/russia.jpg;#fffff;1781;1307;1635;2047;2189;2292;2058;1356;1280;1579;1657;1638
Украина;/home/alab/flags/ukraine.png;#00ff00;181;117;136;163;175;179;130;90;93;112;130;150
Беларусь;/home/alab/flags/belarus.png;#008000;60;50;57;61;65;75;78;56;47;54;59;62
Казахстан;/home/alab/flags/kazahstan.jpg;#118022;133;115;148;192;208;236;221;184;137;162;172;170
Молдавия;/home/alab/flags/moldavia.jpg;#004400;7;6;7;8;9;10;10;7;8;10;11;12
Эстония;/home/alab/flags/estonia.png;#11aa00;24;19;19;23;23;25;26;23;24;27;30;31
Литва;/home/alab/flags/litva.png;#dd8000;48;37;37;43;42;46;48;41;42;47;53;54
Латвия;/home/alab/flags/lativa.png;#118000;35;26;23;28;28;30;31;26;27;30;34;35
Таджикистан;/home/alab/flags/tadjikistan.png;#80ff80;5;5;6;7;8;9;9;8;7;7;7;8
Узбекистан;/home/alab/flags/uzbek.jpg;#808080;35;41;48;55;61;69;76;81;81;58;50;60
Киргизия;/home/alab/flags/kirgizia.png;;5;4;5;6;7;7;7;6;7;8;8;8
Туркменистан;/home/alab/flags/turk.png;;21;20;22;29;35;39;43;35;36;38;40;46
Азербайджан;/home/alab/flags/azer.png;;48;44;52;65;70;74;75;50;37;41;46;47
Грузия;/home/alab/flags/gruzia.png;;12;10;11;14;15;16;16;14;14;15;16;16
Армения;/home/alab/flags/armenia.png;;11;8;9;10;10;11;11;11;11;12;12;13
